ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3436.301369863014,-1949.4520547945206,-710.054794520548,3954.082191780822,8809.780821917808,-7364.438356164384,2965.3854216104082,2904.40457160703,4210.752463183712,24400.73376470193,17114.40156523456,26560.564834979632,4513.730868822861,3517.32499150852,4271.749415461205,24700.307996526837,19299.913315157733,27455.965680559384,25379.0,6249.890410958904,26.0,72227.0,25545.671232876713,24.0,47015.561750352026,47015.561750352026,18228361480.479134,18228361480.479134,4.15771894230841,2.1297230005601975,105.01650213151669,26.40612379515769,-0.09389653756327747,-0.09389653756327747
-6236.378378378378,-3572.5135135135133,216.16216216216216,6291.013513513513,15192.648648648648,-4750.635135135135,5437.081535334767,6455.061876874177,3954.144116810066,21383.83715764194,13234.396537079778,29619.105228588705,8290.165823334197,7384.544958441464,3957.8812069905093,22355.089056324876,20169.607101990077,29974.77118434858,43360.0,9709.432432432432,140.0,82750.0,32055.594594594593,239.0,10190.239917270215,10190.239917270215,1064949071.6742867,1064949071.6742867,3.7601473694031697,2.168134778559239,110.27602812710639,36.49752377318184,-0.09557649597331382,-0.09557649597331382
-3842.7702702702704,-2229.445945945946,-760.8108108108108,9280.027027027027,14613.256756756757,-4540.7027027027025,3169.636373087527,2819.3315095520547,3802.7267057616446,22847.860634465116,14532.901898006668,26905.96391557722,4972.447911213322,3614.9013462670378,3880.3653143709257,24636.737594988594,20799.46755458067,27217.754355110475,24096.0,6833.027027027027,352.0,76061.0,26222.202702702703,155.0,6248.785163088059,6248.785163088059,285779034.7997999,285779034.7997999,4.2932805374430805,3.019187186179865,102.1291653316468,40.75207797954851,-0.09426659516081182,-0.09426659516081182
-3907.4520547945203,-1644.13698630137,177.63013698630138,6286.493150684932,10854.589041095891,-547.5068493150685,3637.1957534839394,3137.440348029317,3184.8056457680646,19102.156167416546,10569.04160643905,26286.65634374844,5349.899079831653,3541.531051929493,3188.6313828805,20147.416992742572,15278.504477035523,26289.746957102747,31319.0,5631.027397260274,104.0,66532.0,25718.972602739726,666.0,6509.231320954698,6509.231320954698,122947533.80452791,122947533.80452791,6.789200164344561,2.3592871542512817,160.67626693264853,34.93796399850214,-0.09446013284421699,-0.09446013284421699
-2509.9324324324325,-1331.5945945945946,835.3108108108108,11805.864864864865,11865.337837837838,-11989.95945945946,1888.2926880835084,2252.1497810317173,2741.079299082553,21381.078291271675,15569.910451917955,23414.504229450846,3145.090221281418,2614.9588390125245,2856.655167016706,24399.721957321453,19389.12071414193,26348.974261024054,12758.0,3705.864864864865,46.0,76879.0,26944.54054054054,1088.0,11440.835690257281,11440.835690257281,394309507.8963778,394309507.8963778,2.432106198221616,2.7148158749826448,54.95916535604845,59.13386051353669,-0.09537717790862517,-0.09537717790862517
-5168.72972972973,-3807.054054054054,254.27027027027026,4404.283783783784,17250.905405405407,1820.054054054054,5385.432261337304,6103.276354400003,3417.3144667746565,21454.419967185917,11205.809435587813,26859.215492777712,7470.182958430967,7219.053295722819,3424.1551611408568,21958.6858357948,20606.540417048647,26950.38755425095,39202.0,9116.945945945947,23.0,76082.0,32384.62162162162,948.0,2893.322956212223,2893.322956212223,107478394.53328386,107478394.53328386,3.91769610452106,2.4784497217266996,114.37247048097184,48.78092013002303,-0.09458894939362233,-0.09458894939362233
-2885.3972602739727,-1415.9041095890411,-722.1506849315068,9886.452054794521,9847.698630136987,-6258.506849315068,2822.4171146071,1694.80063384009,3915.080653622,24674.758275333905,16005.412883675104,25999.419330443114,4051.0857364212397,2204.5111438959984,3984.292338465661,26592.95223066566,18715.486775205092,26739.53918697005,21859.0,6044.958904109589,46.0,85783.0,23608.904109589042,276.0,3856.237044654983,3856.237044654983,159169877.81586194,159169877.81586194,3.724963950760571,3.867266830378188,81.67801867366369,65.18961145367396,-0.09753349594865658,-0.09753349594865658
-5094.621621621622,-2242.7702702702704,-142.3108108108108,2530.635135135135,14453.364864864865,-5266.891891891892,5301.318435654464,4529.344190018408,3600.6576460791107,20841.803844191527,11495.976301409195,23416.584874148775,7384.067462943259,5057.898745152597,3603.6215773819777,21035.10707448705,18582.074733971956,24105.53446376545,37640.0,7609.189189189189,31.0,69785.0,21591.432432432433,181.0,-3344.902913482032,-3344.902913482032,64333141.91032281,64333141.91032281,4.403915296162301,2.92532004105089,129.54622911430536,72.91586832185244,-0.09585639620299516,-0.09585639620299516
-3709.5405405405404,-2273.175675675676,-76.91891891891892,16896.54054054054,13487.013513513513,-8015.554054054054,2734.093628898094,3716.385316465125,2688.1103941515566,18820.635538453233,12830.280146436618,26005.657784130297,4432.895051830185,4255.841783217955,2690.182004291943,25661.865882424987,18358.368600972943,27358.912735973165,30436.0,6060.959459459459,49.0,70693.0,31188.108108108107,633.0,-160.65857854544802,-160.65857854544802,9877752.010210881,9877752.010210881,7.8149735230463,2.019200349779622,142.31373962644463,17.585403381063006,-0.09627852546516127,-0.09627852546516127
-4618.219178082192,-1960.2602739726028,-187.05479452054794,-1853.2876712328766,11104.04109589041,7140.109589041096,4253.578746828227,3731.9612340031895,4413.0728977632125,24202.441305558168,16099.545456787213,24565.46217649978,6218.670051182926,4222.512789829531,4411.66057792239,24240.61830555517,19531.417383984124,25470.210183556013,35034.0,7271.86301369863,65.0,70278.0,29893.301369863013,230.0,897.4780702456483,897.4780702456483,3673723.5576586802,3673723.5576586802,4.47733316241971,2.239059220819235,120.68277004426203,32.69691560814631,-0.09534194040727328,-0.09534194040727328
-3449.0810810810813,-2694.0,368.02702702702703,11588.297297297297,13422.324324324325,-9093.108108108108,3065.371949969035,4309.194280993995,2377.3640971445416,17877.008018580607,12334.794253321399,27760.59592088401,4492.616528290643,4977.431140333008,2401.174757533532,21585.958581097686,18004.638044351464,29368.443404443486,27055.0,5941.918918918919,11.0,82895.0,24767.37837837838,247.0,2606.218969793209,2606.218969793209,9343355.587872228,9343355.587872228,6.0943894802807135,2.9273953113853626,132.84375743137633,75.37284208129779,-0.09545144431068356,-0.09545144431068356
-4249.648648648648,-1440.7162162162163,126.93243243243244,3913.2432432432433,12445.972972972973,-1635.7297297297298,3206.5780362397863,2761.7809231085403,3738.9620848570003,23173.877868294778,15023.561029092829,28397.604955513147,5258.22626295526,3125.3708990705018,3744.1910810415848,23432.53037748787,19534.927069088193,28464.40878986874,24427.0,5590.486486486487,73.0,69012.0,26287.27027027027,459.0,6266.982020915576,6266.982020915576,123230854.05555403,123230854.05555403,4.17283218079367,2.992570675924812,115.24030491359294,51.714248884279584,-0.09595175495062959,-0.09595175495062959
-3709.178082191781,-3092.150684931507,-294.4109589041096,2556.7123287671234,13473.575342465754,-3987.821917808219,3780.56805884606,4078.8490934183633,2938.798030884352,20899.408929461504,11483.8660030916,28994.420703482076,5214.181326355038,5096.278033478997,2941.0494585790666,21075.47598903483,17770.758660118154,29329.01141700194,30326.0,7234.178082191781,1.0,64677.0,18735.178082191782,456.0,3799.662386264941,3799.662386264941,196087220.08830097,196087220.08830097,3.844381526107263,3.5267057294919653,105.86596509590538,88.66946632815949,-0.09352832219226624,-0.09352832219226624
-5289.054054054054,-2355.5945945945946,-187.21621621621622,11330.68918918919,13892.283783783783,-8136.216216216216,5129.451260451018,4348.812982546549,4478.348010681355,22258.39096893358,11272.977567170077,25245.519102050937,7348.058831731997,4944.150636207752,4481.972602036452,24873.564687912825,17668.22103917622,26404.984525858195,37631.0,8735.891891891892,127.0,74453.0,22795.91891891892,186.0,-6028.031894800686,-6028.031894800686,310704345.6290142,310704345.6290142,4.439338138491099,2.527098108710855,124.01597366927867,52.26930859863195,-0.09658074012538778,-0.09658074012538778
-5157.22972972973,-2725.310810810811,82.9054054054054,7062.040540540541,9826.472972972973,399.86486486486484,4873.728010098235,6098.8449687209595,3700.726731196891,20261.248320669874,15835.841474241452,26307.97975784391,7071.387115923101,6692.904588018891,3700.400655809248,21407.876730811528,18668.074796510435,26314.76497935938,34903.0,8260.121621621622,54.0,78864.0,29007.297297297297,1151.0,-7751.079832341886,-7751.079832341886,408097230.6873164,408097230.6873164,3.2132889985187996,2.17967434774863,100.06321686535985,45.377960961220765,-0.09721911624772263,-0.09721911624772263
