ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3074.81,-1589.02,449.78,6785.68,4838.2,2251.7,2658.890601423646,2964.6981248680277,2046.3469546281738,21503.068845906062,14488.691885729368,19930.675606388755,4065.357609116325,3365.8189077845527,2094.5582398205115,22481.80427412355,15307.289657545518,20067.082063419188,19209.0,4526.27,54.0,49520.0,18886.48,197.0,30327.841735912232,30327.841735912232,6770969839.494982,6770969839.494982,3.9702248653294716,2.5743247934636897,153.56598407512584,76.15266598539957,-0.055799093497226705,-0.055799093497226705
-2527.19,-818.41,991.33,8898.35,4500.55,-4520.38,1685.8594151764255,2763.03956211615,1727.0364810307278,18452.042631569948,13627.322956526536,18391.484738937095,3031.046649261604,2878.86554218845,1995.0920454956458,20368.728734754164,14359.554487866259,18916.249466001445,13592.0,2917.39,59.0,57778.0,16672.34,67.0,936.6760103002099,936.6760103002099,187565013.06334597,187565013.06334597,6.807834609221447,6.202697017412218,192.4125267882592,170.57054230906834,-0.05560469486382072,-0.05560469486382072
-3305.940594059406,-1845.970297029703,413.16831683168317,8781.316831683169,5552.574257425743,-3171.841584158416,2925.933189609795,2705.932312752666,2185.2240868137715,23139.979765500586,15128.611287580436,20399.42001093217,4416.282379944238,3277.8773302366285,2223.1010274429323,24702.424598399324,16144.71426667178,20646.280286370384,22064.0,4987.970297029703,20.0,43804.0,16367.198019801981,309.0,2983.784805692149,2983.784805692149,99613908.44318034,99613908.44318034,5.85883509858767,1.9208313212377366,198.488098508941,30.724761823843714,-0.05588261972221824,-0.05588261972221824
-2902.41,-855.08,842.81,2510.82,9205.73,-696.62,2399.6591023766273,2728.454070483137,2055.5266143592007,18226.37742493214,13960.620095259772,21252.227676903807,3753.534069380482,2862.4147707835773,2224.2733532549455,18368.29154494233,16852.28174966227,21261.82157201024,14895.0,3672.28,39.0,44875.0,21255.83,24.0,966.9212529688255,966.9212529688255,64633478.94577044,64633478.94577044,4.87470185022858,2.4840662033738923,170.34952779496487,17.407945883731944,-0.05635342107932382,-0.05635342107932382
-3397.65,-1713.98,371.0,7081.46,7358.41,-1149.81,2988.5886025471946,3260.5041424902374,2118.431148279311,21128.688314883246,14401.263213621882,20981.156045092914,4517.550895120054,3683.1039844131474,2149.5671703857033,22190.746999594223,16172.92515069553,21004.784558999887,21501.0,4942.51,0.0,53451.0,19460.2,282.0,1934.2945272620912,1934.2945272620912,25945229.763614252,25945229.763614252,4.549685663768002,3.0938813483231105,167.7771303030652,60.42061253911248,-0.0564333463472388,-0.0564333463472388
-3104.831683168317,-983.5247524752475,626.6237623762377,6854.277227722772,6241.19801980198,-2742.7128712871286,2360.716344183309,2670.532481629186,2370.429964069321,21517.325048095398,16009.780554379138,21438.289417662105,3894.4673119137046,2840.8572057332162,2452.9618609120503,22494.313618079457,17170.194884343528,21600.493480336496,16609.0,4257.118811881188,88.0,66541.0,21764.920792079207,818.0,2656.7895377964583,2656.7895377964583,26675237.96996774,26675237.96996774,4.741026151140722,3.195335026742522,156.81993134150864,56.484498527884,-0.05635041486144424,-0.05635041486144424
-2973.27,-1479.68,541.08,5704.51,7015.23,-2781.73,2790.7041618865665,2979.734116154662,1793.2733070940408,21607.87963574629,14081.015011730193,20857.87586096847,4079.8421231709444,3328.5051990345455,1873.083084115598,22288.950512529744,15776.30655793681,21036.59851568214,21796.0,4186.95,125.0,36719.0,17944.17,214.0,1491.6223813319793,1491.6223813319793,4863334.951429891,4863334.951429891,5.264868618933157,1.8362173331514509,188.13824144818193,22.717580107705764,-0.055771831543098734,-0.055771831543098734
-3190.28,-1138.66,564.1,6068.95,7227.99,-2803.32,2204.4601007992865,2669.720377051499,2246.1270538195304,21487.355974048423,15052.056535500356,20870.922717105157,3875.053194473593,2899.1401656353214,2316.858105279648,22252.405748817364,16710.429516622247,21041.08386656923,15932.0,4487.7,102.0,50341.0,21459.58,367.0,3246.0430967006937,3246.0430967006937,18692049.58556261,18692049.58556261,4.557433103388043,3.141404765426529,140.90204818118545,65.31476401572137,-0.056495605720522354,-0.056495605720522354
-3301.4653465346537,-1620.1584158415842,463.03960396039605,7073.475247524752,4650.336633663366,-1153.9108910891089,3442.1352197160404,4012.4131491692206,2199.898668314528,20921.233746923284,16707.591116989664,19999.96903181897,4770.735221583299,4329.735347364527,2247.619076901485,22020.686425349333,17339.580339115295,20026.001072121067,26026.0,4810.029702970297,210.0,50456.0,19131.821782178216,185.0,1351.063329630122,1351.063329630122,18675766.8423885,18675766.8423885,5.496377886901228,2.4415656483457586,196.37386527715165,73.41165596441827,-0.056919882179502536,-0.056919882179502536
-3321.64,-1040.41,604.27,9827.91,5128.49,-2740.28,2544.496635860224,2452.8202297802004,2311.8476692401255,22199.96128536307,16882.512019711372,22438.433623281646,4182.859909200881,2655.996458958483,2390.114589303199,24165.085384703278,17644.068672219568,22595.59848156273,12740.0,4326.64,217.0,53550.0,20973.32,164.0,1519.3483011113733,1519.3483011113733,14703320.764791323,14703320.764791323,3.7016882142284864,2.869317888610205,107.48826248166927,44.367460446694984,-0.05590388017556428,-0.05590388017556428
-3677.3564356435645,-891.5049504950495,-414.6930693069307,12227.168316831683,2369.8118811881186,618.4653465346535,3129.667024362317,3453.638085158502,2182.683843047057,18408.695546298648,14043.337169764263,17562.434091875206,4815.6242215900065,3573.6476719408583,2223.2960902566474,21976.65572266343,14269.813579513202,17571.329695763714,25228.0,5140.089108910891,10.0,46694.0,19402.257425742573,1153.0,3943.369301240262,3943.369301240262,35958669.51634708,35958669.51634708,6.439578462010712,2.604898267141335,206.68874245670546,64.86842980258362,-0.056660541270483415,-0.056660541270483415
-4137.45,-2075.85,357.59,2725.55,9500.64,3140.45,3367.123569231608,3470.312744303458,2472.0605557750805,23817.199883854428,17046.199712073772,22238.95866421075,5274.802391559328,4055.751635640427,2504.2763924934484,23992.79836596807,19378.12058018011,22415.93786639319,24853.0,5956.47,115.0,49162.0,21634.86,1209.0,2959.431714867176,2959.431714867176,23446059.77684497,23446059.77684497,4.2233004857129135,2.278995387967461,150.70731703234398,37.15954724068776,-0.05606677804426346,-0.05606677804426346
-3351.85,-1112.27,383.18,5196.46,7268.25,-1983.0,2896.0497499654593,3036.507947951231,2204.792731046617,20919.511804472975,15108.802065745484,21595.642312976015,4378.780781222097,3200.0645259119387,2232.7382784374886,21640.35015104885,16639.36469790839,21717.341412336824,15833.0,4398.72,114.0,48372.0,18010.57,56.0,5815.960320390766,5815.960320390766,60993015.28874701,60993015.28874701,3.9409486432757737,2.1757723373925346,135.33620476501733,44.98045819320061,-0.05643946170252016,-0.05643946170252016
-3371.9504950495048,-1953.7623762376238,949.8712871287129,2674.5445544554455,8311.722772277228,565.009900990099,3061.605179644675,3655.867719556267,2332.1543945082644,20343.322093686536,14916.306668560743,21077.069199397054,4539.683941325509,4112.340717671363,2510.625646848582,20562.349116723504,16975.235701713038,21076.020389659585,23347.0,5044.910891089109,56.0,54521.0,20181.09900990099,203.0,4638.543717429118,4638.543717429118,24383354.655118138,24383354.655118138,5.700474396223043,3.713679457993233,195.3482284109451,66.93801833805315,-0.05723844570431448,-0.05723844570431448
-3332.18,-995.03,12.28,8588.81,7611.22,-2449.75,2806.3379100307934,2446.967907082355,2192.4403021327626,21134.304071819795,15027.02397691293,21370.626108677185,4368.927149770296,2622.147366186729,2192.3303583173774,22951.969521372233,16787.30261834819,21548.668980473016,15546.0,4502.83,21.0,51136.0,20405.7,63.0,6566.705986887486,6566.705986887486,60746708.51180294,60746708.51180294,3.825598813321427,2.6169801217147914,126.9841066690252,17.060562205594625,-0.056665668850096176,-0.056665668850096176
