ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-3654.6941176470586,-1804.070588235294,1138.9764705882353,4344.2588235294115,5231.117647058823,-3098.4,2939.348919057585,3173.46314957976,2339.6596335711624,21013.310998422967,16304.748883802256,22639.971910770353,4697.307452773594,3662.072852425329,2597.164881852789,21437.08405050079,17121.564012190283,22838.097745034825,17910.0,5019.835294117647,291.0,52126.0,18840.764705882353,269.0,31099.195631816878,31099.195631816878,7728473246.344798,7728473246.344798,3.478619218406116,2.4294489760671203,115.61946442579311,44.34059796225671,-0.05566572345485986,-0.05566572345485986
-3093.0697674418607,-724.8604651162791,980.1162790697674,5891.883720930233,4851.395348837209,-1823.6744186046512,2203.975274350602,1338.0177651269203,2586.0783260663607,22004.937024224375,18423.337963995782,21876.87567847485,3795.9305566221406,1530.453679506923,2765.74852141711,22743.932608755855,19076.48684625523,21930.635358085325,14051.0,3536.906976744186,76.0,51790.0,18639.279069767443,177.0,4393.66034030222,4393.66034030222,336527493.9536451,336527493.9536451,4.373218703345632,2.160366094899786,123.21028161380238,50.02827899606927,-0.056077215844185145,-0.056077215844185145
-3264.494117647059,-1857.1882352941177,1591.8,8331.929411764706,2743.1294117647058,-7156.141176470588,2594.5260553857843,2828.8387322867256,1718.924411848019,22473.767691907768,17960.28747364191,25098.10056788663,4163.860442934572,3396.52895658806,2327.1283920190513,23879.892059072234,18147.94955716518,26009.19859950005,17376.0,4253.952941176471,195.0,52689.0,18330.49411764706,1222.0,135.72626292502895,135.72626292502895,102788357.12733676,102788357.12733676,5.215882269498019,2.601617208069261,140.26226812067205,62.41333675022574,-0.05643380030461727,-0.05643380030461727
-3199.406976744186,-1207.7209302325582,773.7441860465116,7139.2441860465115,4529.058139534884,-2078.1744186046512,2351.2449793778896,1291.969434276692,2382.52676822197,22876.163628236387,17556.40748617265,22446.920320704205,3974.8311840706474,1775.6114570793993,2503.504757288758,23872.793181584297,18113.935146731645,22512.719013564776,14943.0,4279.523255813953,38.0,50209.0,18602.872093023256,535.0,3182.119243928446,3182.119243928446,65593036.1319237,65593036.1319237,4.6234213914142135,1.8485927924929864,126.49176039754249,38.47081413593665,-0.056693946584298646,-0.056693946584298646
-3956.4117647058824,-2480.670588235294,1029.5647058823529,9086.423529411764,4098.941176470588,-6051.2,3292.2893177299156,3754.499209207718,2593.052538173742,22353.45372706095,16941.222619237415,23379.398894542115,5149.4529201139985,4514.931751161589,2783.5349108642413,24053.361488451414,17400.36445730545,24072.68407234762,22293.0,5960.2235294117645,161.0,60577.0,17522.870588235295,15.0,520.9398550876441,520.9398550876441,4439233.158697439,4439233.158697439,3.7392683335694246,2.744084773323683,122.19441854136886,64.55234656295733,-0.05595162212256454,-0.05595162212256454
-3528.767441860465,-676.4883720930233,955.7325581395348,9322.06976744186,5352.709302325581,-5922.895348837209,2610.0997271951865,2037.717844150652,2889.613968990471,21493.963403391066,17939.36521622881,26122.856731583328,4390.202593725429,2157.440877413535,3039.3305700356927,23409.909274334193,18751.864161284226,26718.266807952386,15732.0,4200.174418604651,38.0,80203.0,23949.13953488372,226.0,3775.6367933328006,3775.6367933328006,32233357.236045044,32233357.236045044,4.4666174794559055,3.0692275900718813,131.40429059362026,53.07229034410318,-0.05583825439851124,-0.05583825439851124
-3842.788235294118,-2085.8,774.9882352941177,8685.329411764706,5058.364705882353,-4330.2235294117645,2881.0727918123757,3206.7698220006555,2407.2502047714265,22292.229577209502,16119.651574856305,23949.16493255264,4799.488182271596,3829.150618456204,2526.2427576518126,23802.723156864908,16935.210553233548,24273.345083953835,19582.0,5360.7764705882355,75.0,58326.0,18758.811764705883,277.0,5066.7917026364785,5066.7917026364785,55147076.659549415,55147076.659549415,3.039517971224138,2.5175747079548842,104.10764854839334,59.58674057865645,-0.05685852375456018,-0.05685852375456018
-3304.186046511628,-791.0116279069767,1142.6279069767443,6129.7441860465115,7466.837209302325,436.0,2148.118124203242,1702.5579532671272,2506.121260336515,23154.838885809488,16256.476595785403,24093.237641914537,3939.747911307418,1879.139025390135,2755.1686016024164,23880.887252712037,17904.612264039155,24104.12119882079,11875.0,3687.3372093023254,85.0,45668.0,21459.976744186046,12.0,2481.8960439569214,2481.8960439569214,9480858.01360422,9480858.01360422,3.926841007839698,1.7243698620753978,106.2912269925706,-3.7253668281316985,-0.056290986385503776,-0.056290986385503776
-3749.705882352941,-2507.6470588235293,946.6235294117647,6365.317647058823,6183.694117647059,-2597.4117647058824,2712.83337249835,3152.1065350370195,2178.4467665278316,23280.909893687203,16582.588012715416,25191.397692131468,4632.85343529678,4035.169191000546,2370.901712305207,24064.870763637777,17773.557414779705,25290.20819163952,19708.0,5509.011764705882,2.0,47771.0,21059.058823529413,1016.0,4943.102611472994,4943.102611472994,55385572.71040287,55385572.71040287,3.384214403133304,2.1980959106464724,97.490220886356,40.01504774855444,-0.057033053202564216,-0.057033053202564216
-3101.3720930232557,-843.0,916.1162790697674,4784.383720930233,8891.546511627907,-3811.767441860465,2302.926477318992,1699.6673785404068,2723.4444379603697,21394.135761642876,15264.13773073895,25761.151617813077,3862.0732232047785,1905.969221792053,2873.3690055160796,21886.54312187243,17690.593048481354,25994.977221906578,15825.0,3717.1162790697676,47.0,53895.0,22572.581395348836,51.0,1772.4595859585659,1772.4595859585659,10916675.194527302,10916675.194527302,4.820295113925957,1.8057551073903588,140.49370432251504,30.395324475671273,-0.05620725136951233,-0.05620725136951233
